Stage 4 Pd-vs-SNR CA-CFAR Monte Carlo
Mode: full
Trials: 200
Echo SNR axis dB: -40, -38, -36, -34, -32, -30, -28, -26, -24, -22, -20, -18, -16, -14, -12, -10, -8, -6, -4, -2, 0
No RIS model: blocked NLOS baseline with zero target echo amplitude
SNR reference: optimized RIS noiseless beat-signal average sample power
full  | SNR  -40.0 dB |   1/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   2/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   3/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   4/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   5/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   6/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   7/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   8/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |   9/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |  10/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |  11/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |  12/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |  13/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -40.0 dB |  14/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
